County_Code,Year,total_chunks,sample_reliable,keyword_passed,scored,equipment_sum,equipment_index,environment_sum,environment_index,ecommerce_sum,ecommerce_index,brandquality_sum,brandquality_index,cluster_sum,cluster_index,finance_sum,finance_index,education_sum,education_index,L1_equipment_sum,L2_equipment_sum,L1_equipment_index,L2_equipment_index,L1_environment_sum,L2_environment_sum,L1_environment_index,L2_environment_index,L1_ecommerce_sum,L2_ecommerce_sum,L1_ecommerce_index,L2_ecommerce_index,L1_brandquality_sum,L2_brandquality_sum,L1_brandquality_index,L2_brandquality_index,L1_cluster_sum,L2_cluster_sum,L1_cluster_index,L2_cluster_index,L1_finance_sum,L2_finance_sum,L1_finance_index,L2_finance_index,L1_education_sum,L2_education_sum,L1_education_index,L2_education_index,policy_intensity_total,policy_intensity_concentration,policy_intensity_production,policy_intensity_market,policy_mix_equipment_env,policy_mix_production_market
130600,2018,26,1,1,1,0,0.0,3,11.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11.54,3,0,0.0,1.3862943611198906
130600,2019,27,1,1,1,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.7,1,0,0.0,0.6931471805599453
130600,2020,2,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.7,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130600,2021,28,1,2,2,0,0.0,1,3.57,0,0.0,0,0.0,1,3.57,2,7.14,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14.28,2,2,0.0,0.0
130600,2022,27,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,2,7.41,0.0,0.0,0.0,0.0,1.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.57,0.0,2.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,1,3.7,1,0,0.0,0.6931471805599453
130600,2023,17,1,1,1,0,0.0,0,0.0,0,0.0,0,0.0,1,5.88,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.7,3.57,0.0,2.0,0.0,7.14,2.0,0.0,7.41,0.0,1,5.88,1,0,0.0,0.6931471805599453
130600,2024,8,0,1,1,0,0.0,0,0.0,0,0.0,1,12.5,3,37.5,1,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.88,3.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.41,5,62.5,3,2,0.0,0.28768207245178085
130600,2025,15,1,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.5,0.0,3.0,1.0,37.5,5.88,1.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0
130600,2026,13,1,3,3,0,0.0,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,8,61.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.5,0.0,3.0,0.0,37.5,0.0,1.0,0.0,12.5,0.0,0.0,0.0,0.0,1,7.69,1,0,0.0,0.6931471805599453
130628,2000,7,0,2,2,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,1,14.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.29,1,0,0.0,0.6931471805599453
130628,2001,7,0,2,2,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,1,14.29,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,14.29,,0.0,,0.0,,1.0,,14.29,,1,14.29,1,0,0.0,0.6931471805599453
130628,2002,7,0,2,2,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,1,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.29,14.29,0.0,0.0,0.0,0.0,1.0,1.0,14.29,14.29,1,14.29,1,0,0.0,0.6931471805599453
130628,2003,7,0,2,2,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,1,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.29,14.29,0.0,0.0,0.0,0.0,1.0,1.0,14.29,14.29,1,14.29,1,0,0.0,0.6931471805599453
